"","prop1_mean","prop1_std","prop2_mean","prop2_std","coeff_mean","coeff_std","intecept_mean","intecept_std","pvals","LRT_pvals"
"CD4 T cells",0.397958328404863,0.122569696709307,0.405739908418568,0.128391520658379,-0.0271027431715743,0.0929263897025611,-0.330829114361061,0.0743466964186383,0.770547974966212,0.265628798744068
"CD14+ Monocytes",0.249289670160891,0.0749902439487491,0.228795344673614,0.0627780619676395,0.0977842532103523,0.0981088322478633,-1.30406703934922,0.0805571796860708,0.318914207341005,0.000528038230406153
"Dendritic cells",0.0165874728280572,0.00543573337767575,0.0185257816489166,0.00679745181578283,-0.0989669432978252,0.271450027148484,-4.07056348618262,0.218353352288523,0.715420291734601,0.326561040508233
"NK cells",0.0700069802336463,0.0216734180692035,0.0858534711767645,0.0243438477913112,-0.231701092120818,0.13541574830259,-2.33080957662337,0.109942106927445,0.0870746420951294,1.14948237693583e-07
"CD8 T cells",0.0909329231422181,0.0908024342202257,0.0825105725610716,0.0919763724002131,0.143492295453973,0.132659929405952,-2.37998779510765,0.113810061859879,0.27940579030096,0.00043491048530865
"B cells",0.0938342144060584,0.0332447003616455,0.0913402943725697,0.0270868449832284,0.0612564271759634,0.125706654072573,-2.23932778702194,0.103935220781017,0.626048145275441,0.123228511028429
"Megakaryocytes",0.0169764353158302,0.0190552816929726,0.0153476441969341,0.0174447954871258,-0.084352696312369,0.332284517932145,-4.38246456655797,0.26745047996165,0.799606162618628,0.412270702541694
"FCGR3A+ Monocytes",0.0644139755084353,0.0237587451316143,0.0718869829515618,0.0297828849118238,-0.130733085580679,0.146408351001405,-2.59112820432279,0.113487730431564,0.371892184877545,0.00587007673123994
