"","prop1_mean","prop1_std","prop2_mean","prop2_std","coeff_mean","coeff_std","intecept_mean","intecept_std","pvals","LRT_pvals"
"CD4 T cells",0.397958328404863,0.122569696709307,0.405739908418568,0.128391520658379,-0.0272759006981316,0.0238219334828846,-0.33317209948395,0.0168767914822866,0.252212863707709,0.252209143304278
"CD14+ Monocytes",0.249289670160891,0.0749902439487491,0.228795344673614,0.0627780619676395,0.0970503881673539,0.0282593235067884,-1.3040794386596,0.0203108729075806,0.000594133343345483,0.000591583848850715
"Dendritic cells",0.0165874728280572,0.00543573337767575,0.0185257816489166,0.00679745181578283,-0.0859333482771836,0.0929709093482887,-4.06333593900436,0.0645663254231874,0.35532825736633,0.355158262192771
"NK cells",0.0700069802336463,0.0216734180692035,0.0858534711767645,0.0243438477913112,-0.226799438148973,0.0433941697602358,-2.3309514160671,0.0292892502229738,1.72752910412371e-07,1.61826797326489e-07
"CD8 T cells",0.0909329231422181,0.0908024342202257,0.0825105725610716,0.0919763724002131,0.140317904386674,0.0409567530063581,-2.3781846635318,0.0298666205981542,0.000612536605643062,0.000604515267230528
"B cells",0.0938342144060584,0.0332447003616455,0.0913402943725697,0.0270868449832284,0.0596005002025986,0.0392900798193631,-2.23766335667646,0.0281966034506131,0.129283076735478,0.129202076211167
"Megakaryocytes",0.0169764353158302,0.0190552816929726,0.0153476441969341,0.0174447954871258,-0.0944154629202847,0.108254315167654,-4.37204644226375,0.0750046423440191,0.383119185906684,0.382908552935893
"FCGR3A+ Monocytes",0.0644139755084353,0.0237587451316143,0.0718869829515618,0.0297828849118238,-0.127393088562848,0.0473626014009445,-2.58944837794686,0.0326577215516693,0.00715076846879654,0.00710981629378106
