"","prop1_mean","prop1_std","prop2_mean","prop2_std","coeff_mean","coeff_std","intecept_mean","intecept_std","pvals","LR"
"CD4 T cells",0.397958328404863,0.122569696709307,0.405739908418568,0.128391520658379,-0.0262315328508856,0.239635238530686,-0.382628969252902,0.169384939290409,0.912477701355343,0.012081053598763
"CD14+ Monocytes",0.249289670160891,0.0749902439487491,0.228795344673614,0.0627780619676395,0.105117222248238,0.17148761015132,-1.21564074738295,0.12343083879471,0.542384626409415,0.37113797571692
"Dendritic cells",0.0165874728280572,0.00543573337767575,0.0185257816489166,0.00679745181578283,-0.0858157608627954,0.177831521605531,-4.00826857752066,0.122741671242874,0.63070838969314,0.231101355658467
"NK cells",0.0700069802336463,0.0216734180692035,0.0858534711767645,0.0243438477913112,-0.216178565007161,0.14636072572735,-2.36033039506738,0.098852044800118,0.152455382836902,2.04750969670147
"CD8 T cells",0.0909329231422181,0.0908024342202257,0.0825105725610716,0.0919763724002131,0.129040816699255,0.362074962258348,-2.3932345684598,0.278434914396252,0.72139155181222,0.127163298685815
"B cells",0.0938342144060584,0.0332447003616455,0.0913402943725697,0.0270868449832284,0.0226841001258459,0.16384470770202,-2.28708687959727,0.116792973865535,0.889515542998209,0.0192980011557324
"Megakaryocytes",0.0169764353158302,0.0190552816929726,0.0153476441969341,0.0174447954871258,0.0606515784421777,0.332514750613923,-4.17187634770263,0.255531640220369,0.855098830300886,0.0333488357016165
"FCGR3A+ Monocytes",0.0644139755084353,0.0237587451316143,0.0718869829515618,0.0297828849118238,-0.101766866171827,0.202508698660261,-2.56944307117592,0.142175943705396,0.616065726487409,0.251436041893044
